,7m,8m,9m,10m,11m,12m,now,stock
,317.00,193.00,195.00,225.00,123.00,60.00,185.00,
,28.00,190.00,196.00,164.00,155.00,201.00,176.00,
,30.00,218.00,28.00,28.00,45.50,57.75,202.75,
,174.00,28.00,74.00,37.00,60.00,102.00,100.00,
,0.00,0.00,0.00,4.00,8.00,0.00,12.00,
,3.00,0.00,5.00,2.00,3.00,22.00,12.00,
,30.00,30.00,0.00,0.00,0.00,0.00,166.00,
,30.00,0.00,0.00,12.00,0.00,0.00,238.00,
,0.00,0.00,0.00,0.00,30.00,60.00,180.00,
,0.00,0.00,0.00,30.00,97.00,120.00,203.00,
,97.00,102.00,88.00,132.00,88.00,14.00,154.00,
,0.00,0.00,0.00,0.00,0.00,0.00,60.00,
,67.00,97.00,81.00,270.00,118.00,231.00,212.00,
,90.00,30.00,0.00,180.00,0.00,150.00,120.00,
,0.00,0.00,0.00,0.00,28.00,150.00,102.00,
,0.00,0.00,9.00,102.00,60.00,0.00,130.00,
,360.00,392.00,447.00,365.00,734.00,360.00,"1,683.00",
,0.00,0.00,0.00,116.00,14.00,0.00,98.00,
,0.00,60.00,0.00,60.00,0.00,60.00,60.00,
,0.00,30.00,33.00,60.00,30.00,44.00,"1,415.00",
,120.00,60.00,0.00,24.00,0.00,0.00,228.00,
,0.00,0.00,60.00,0.00,0.00,73.00,47.00,
,0.00,0.00,20.00,0.00,0.00,10.00,264.00,
,0.00,15.00,0.00,6.00,0.00,0.00,79.00,
,60.00,58.00,58.00,28.00,88.00,28.00,46.00,
,300.00,134.00,303.00,180.00,180.00,0.00,962.00,
,262.00,302.00,442.00,834.00,914.00,"1,520.00",526.00,
,0.00,0.00,91.00,0.00,0.00,0.00,99.00,
,0.00,45.00,0.00,0.00,15.00,0.00,180.00,
,318.00,224.00,160.00,352.00,54.00,138.00,145.00,
,0.00,0.00,0.00,0.00,0.00,14.00,94.00,
,0.00,0.00,90.00,0.00,0.00,0.00,112.00,
,0.00,21.00,21.00,0.00,21.00,0.00,102.00,
,72.00,72.00,0.00,0.00,0.00,0.00,96.00,
,0.00,0.00,42.00,90.00,30.00,30.00,54.00,
,30.00,93.00,280.00,180.00,65.00,148.00,104.00,
,0.00,2.00,0.00,1.00,0.00,0.00,6.00,
,0.00,0.00,0.00,0.00,80.00,105.00,-5.00,
,12.00,0.00,6.00,7.00,0.00,3.00,154.00,
,0.00,0.00,0.00,0.00,0.00,0.00,293.00,
,98.00,47.00,113.00,94.00,77.00,125.00,99.00,
,0.00,0.00,0.00,0.00,88.00,0.00,156.00,
,57.00,39.00,0.00,0.00,0.00,0.00,0.00,
,"4,807.00","4,686.00","4,457.00","1,391.00",641.00,"1,150.00","2,607.00",
,0.00,0.00,393.00,"2,823.00","2,108.00","2,521.00",345.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,"1,074.00","1,053.00","1,293.00",975.00,"1,176.00",982.00,471.00,
,0.00,10.00,0.00,0.00,0.00,0.00,10.00,
,0.00,0.00,0.00,0.00,0.00,2.00,1.00,
,60.00,0.00,0.00,0.00,0.00,0.00,120.00,
,0.00,90.00,0.00,0.00,0.00,0.00,90.00,
,"1,155.00","1,246.00",683.00,604.00,842.00,819.00,474.00,
,0.00,0.00,21.00,63.00,42.00,21.00,93.00,
,0.00,0.00,35.00,39.00,12.00,0.00,43.00,
,210.00,165.00,180.00,150.00,150.00,222.00,527.00,
,30.00,0.00,0.00,0.00,28.00,0.00,32.00,
,335.00,188.00,303.00,168.00,418.00,176.00,308.50,
,108.00,15.00,47.50,30.00,88.00,111.00,320.50,
,14.00,44.00,30.00,30.00,30.00,30.00,92.00,
,81.00,90.00,180.00,120.00,210.00,0.00,214.00,
,28.00,60.00,0.00,0.00,0.00,0.00,131.00,
,12.00,116.00,32.00,37.00,40.00,150.00,276.00,
,50.00,0.00,60.00,68.00,120.00,90.00,153.00,
,60.00,0.00,0.00,0.00,0.00,0.00,108.00,
,0.00,30.00,44.00,51.00,44.00,28.00,133.00,
,0.00,0.00,11.00,7.00,0.00,0.00,82.00,
,116.00,74.00,132.00,116.00,120.00,120.00,166.00,
,0.00,0.00,0.00,0.00,49.00,102.00,850.00,
,402.00,720.00,"1,119.00","1,311.00","1,364.00",600.00,922.00,
,0.00,45.00,0.00,15.00,0.00,0.00,60.00,
,2.00,1.00,0.00,4.00,1.00,3.00,7.00,
,0.00,0.00,0.00,9.00,14.00,93.00,179.50,
,11.00,12.00,10.00,8.00,8.00,16.00,4.00,
,0.00,0.00,5.00,3.00,10.00,7.00,9.00,
,0.00,0.00,0.00,0.00,88.00,70.00,82.00,
,164.00,150.00,120.00,270.00,60.00,120.00,106.00,
,18.00,0.00,9.00,74.00,0.00,42.00,67.00,
,0.00,0.00,0.00,0.00,60.00,60.00,90.00,
,45.00,0.00,0.00,0.00,0.00,0.00,389.00,
,0.00,0.00,0.00,44.00,0.00,0.00,106.00,
,0.00,0.00,0.00,0.00,30.00,30.00,70.00,
,1.00,3.00,1.00,2.00,3.00,1.00,2.00,
,0.00,0.00,0.00,0.00,30.00,30.00,0.00,
,0.00,0.00,0.00,0.00,0.00,0.00,60.00,
,0.00,0.00,90.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,30.00,70.00,
,15.00,45.00,0.00,0.00,0.00,0.00,0.00,
,24.00,0.00,0.00,0.00,0.00,84.00,109.00,
,0.00,0.00,21.00,0.00,0.00,0.00,138.00,
,0.00,0.00,0.00,10.00,0.00,5.00,10.00,
,7.00,14.00,42.00,0.00,0.00,0.00,0.00,
,498.00,733.00,492.00,637.00,824.00,715.00,650.00,
,3.00,2.00,5.00,2.00,8.00,6.00,5.00,
,54.00,54.00,33.00,32.50,26.00,22.00,556.50,
,0.00,0.00,21.00,60.00,0.00,21.00,98.00,
,180.00,109.00,348.00,348.00,560.00,586.00,320.00,
,0.00,7.00,0.00,0.00,0.00,0.00,60.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,70.00,0.00,230.00,
,"1,074.00",820.00,"1,552.00","1,858.00","1,506.00","1,361.00","1,029.00",
,0.00,0.00,0.00,0.00,60.00,60.00,60.00,
,336.00,195.00,147.00,63.00,362.00,288.00,365.00,
,0.00,30.00,84.00,126.00,84.00,42.00,125.00,
,9.00,36.00,14.00,0.00,36.00,57.00,139.00,
,49.00,81.00,238.00,108.00,162.00,138.00,330.00,
,0.00,0.00,0.00,478.00,381.00,236.00,402.00,
,0.00,120.00,0.00,180.00,0.00,120.00,240.00,
,0.00,0.00,0.00,0.00,0.00,0.00,30.00,
,0.00,0.00,0.00,16.00,10.00,0.00,34.00,
,16.00,10.00,4.00,0.00,12.00,4.00,30.00,
,0.00,195.00,63.00,0.00,0.00,0.00,0.00,
,166.00,337.00,640.00,140.00,0.00,56.00,591.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,164.00,242.00,444.00,52.00,88.00,60.00,780.00,
,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
